rx,tx,len,type,rateMbps,rssi
0a3204a11077,d090b7277cb3,108,8,1,-58
0a3204a11077,8bc8280160dd,20,4,11,-55
0a3204a11077,93ea1453ecf8,108,8,9,-57
ffffffffffff,118f7f7fac1d,141,0,1,-40
0a3204a11077,93ea1453ecf8,108,8,9,-59
93ea1453ecf8,0a3204a11077,1544,8,5,56
ffffffffffff,fc79ea546019,82,8,1,-72
96e6224fd415,0a3204a11077,1544,8,11,55
ffffffffffff,118f7f7fac1d,141,0,1,-43
23210a2220af,0a3204a11077,1544,8,11,58
deb109bed87b,0a3204a11077,1544,8,11,54
0a3204a11077,deb109bed87b,108,8,48,-48
0a3204a11077,73dfb6185cb5,108,8,2,-55
73dfb6185cb5,0a3204a11077,104,8,12,55
0a3204a11077,deb109bed87b,108,8,48,-47
0a3204a11077,73dfb6185cb5,108,8,11,-56
0a3204a11077,d090b7277cb3,108,8,1,-59
ffffffffffff,0a3204a11077,153,0,0,0
ffffffffffff,118f7f7fac1d,141,0,1,-45
0a3204a11077,73dfb6185cb5,108,8,11,-55
a77008a22036,0a3204a11077,1544,8,11,54
0a3204a11077,deb109bed87b,108,8,48,-48
0a3204a11077,860378b2f4e6,96,8,9,-48
0a3204a11077,860378b2f4e6,96,8,9,-45
0a3204a11077,860378b2f4e6,96,8,9,-44
0a3204a11077,73dfb6185cb5,108,8,11,-56
0a3204a11077,860378b2f4e6,96,8,9,-47
860378b2f4e6,0a3204a11077,90,8,5,52
0a3204a11077,73dfb6185cb5,108,8,1,-60
0a3204a11077,96e6224fd415,108,8,9,-51
02a9718f10aa,0a3204a11077,1544,8,2,56
b7cc04c1700c,0a3204a11077,1544,8,24,54
0a3204a11077,deb109bed87b,108,8,48,-51
0a3204a11077,7b376686c0e6,120,8,6,-59
0a3204a11077,7b376686c0e6,120,8,5,-47
7b376686c0e6,0a3204a11077,1544,8,12,56
0a3204a11077,7b376686c0e6,120,8,2,-55
0a3204a11077,b7cc04c1700c,108,8,54,-44
0a3204a11077,96e6224fd415,108,8,9,-52
0c456dd3601d,0a3204a11077,1544,8,18,57
0a3204a11077,0c456dd3601d,108,8,6,-55
0a3204a11077,36c209aed8db,28,8,48,-52
0a3204a11077,0c456dd3601d,108,8,5,-54
0a3204a11077,d090b7277cb3,108,8,1,-59
8bc8280160dd,0a3204a11077,1544,8,11,56
d10a78ddd830,0a3204a11077,90,8,11,56
49dc042170bc,0a3204a11077,1544,8,11,56
d090b7277cb3,0a3204a11077,1544,8,18,56
93ea1453ecf8,0a3204a11077,1544,8,11,57
96e6224fd415,0a3204a11077,90,8,11,57
0a3204a11077,49dc042170bc,108,8,48,-48
23210a2220af,0a3204a11077,1544,8,11,54
0a3204a11077,93ea1453ecf8,108,8,9,-57
deb109bed87b,0a3204a11077,1544,8,11,52
0a3204a11077,96e6224fd415,84,8,9,-54
0a3204a11077,49dc042170bc,108,8,48,-50
0a3204a11077,93ea1453ecf8,108,8,9,-58
0a3204a11077,23210a2220af,108,8,12,-52
0a3204a11077,23210a2220af,108,8,11,-50
0a3204a11077,93ea1453ecf8,108,8,9,-60
0a3204a11077,73dfb6185cb5,96,8,36,-57
73dfb6185cb5,0a3204a11077,653,8,11,56
0a3204a11077,73dfb6185cb5,96,8,36,-56
a77008a22036,0a3204a11077,1544,8,11,56
0a3204a11077,23210a2220af,108,8,9,-52
860378b2f4e6,0a3204a11077,1544,8,11,56
0a3204a11077,a77008a22036,108,8,2,-55
0a3204a11077,860378b2f4e6,96,8,18,-43
02a9718f10aa,0a3204a11077,1544,8,2,51
0a3204a11077,8bc8280160dd,20,4,11,-54
e65a2b5aa0d4,d91371a56068,28,8,0,-74
0a3204a11077,b7cc04c1700c,108,8,54,-45
0a3204a11077,73dfb6185cb5,96,8,6,-58
0a3204a11077,860378b2f4e6,96,8,18,-48
0a3204a11077,73dfb6185cb5,96,8,6,-55
0a3204a11077,73dfb6185cb5,96,8,2,-56
b7cc04c1700c,0a3204a11077,1544,8,18,58
0a3204a11077,7b376686c0e6,108,8,5,-55
0a3204a11077,7b376686c0e6,108,8,2,-44
7b376686c0e6,0a3204a11077,1544,8,11,45
0a3204a11077,73dfb6185cb5,96,8,1,-54
0a3204a11077,860378b2f4e6,96,8,18,-46
0a3204a11077,860378b2f4e6,96,8,18,-45
0a3204a11077,49dc042170bc,108,8,48,-52
0c456dd3601d,0a3204a11077,1544,8,11,54
36c209aed8db,0a3204a11077,96,8,12,56
0a3204a11077,860378b2f4e6,96,8,18,-45
0a3204a11077,860378b2f4e6,96,8,9,-45
0a3204a11077,860378b2f4e6,96,8,9,-45
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,d10a78ddd830,96,8,18,-54
8bc8280160dd,0a3204a11077,1544,8,5,56
0a3204a11077,860378b2f4e6,96,8,9,-46
d10a78ddd830,0a3204a11077,1544,8,11,57
ffffffffffff,118f7f7fac1d,141,0,1,-48
0a3204a11077,49dc042170bc,108,8,48,-56
49dc042170bc,0a3204a11077,1544,8,5,53
0a3204a11077,49dc042170bc,108,8,48,-51
d090b7277cb3,0a3204a11077,1544,8,18,54
93ea1453ecf8,0a3204a11077,1544,8,11,53
0a3204a11077,93ea1453ecf8,108,8,9,-58
ffffffffffff,e8680b42209f,85,0,1,-88
0a3204a11077,860378b2f4e6,96,8,9,-45
96e6224fd415,0a3204a11077,1544,8,5,53
0a3204a11077,860378b2f4e6,96,8,9,-44
e8680b42209f,0a3204a11077,138,0,1,58
23210a2220af,0a3204a11077,1544,8,11,49
0a3204a11077,860378b2f4e6,96,8,9,-44
0a3204a11077,deb109bed87b,108,8,48,-49
deb109bed87b,0a3204a11077,1544,8,11,53
73dfb6185cb5,0a3204a11077,354,8,11,55
a77008a22036,0a3204a11077,1544,8,12,57
0a3204a11077,860378b2f4e6,96,8,9,-45
0a3204a11077,a77008a22036,108,8,2,-53
860378b2f4e6,0a3204a11077,1544,8,11,56
0a3204a11077,860378b2f4e6,96,8,1,-49
0a3204a11077,d10a78ddd830,96,8,18,-53
